title,rank,meta,rating
Jewel in the Palace,#177,"Korean Drama - 2003, 54 episodes",8.6
Tunnel,#178,"Korean Drama - 2017, 16 episodes",8.6
High School Return of a Gangster,#179,"Korean Drama - 2024, 8 episodes",8.6
One and Only,#180,"Chinese Drama - 2021, 24 episodes",8.6
Legend of the Female General,#181,"Chinese Drama - 2025, 36 episodes",8.6
Mr. Plankton,#182,"Korean Drama - 2024, 10 episodes",8.6
Falling into Your Smile,#183,"Chinese Drama - 2021, 31 episodes",8.6
Sword Snow Stride,#184,"Chinese Drama - 2021, 38 episodes",8.6
Duang with You (Uncut),#185,"Thai Drama - 2026, 12 episodes",8.6
Hot Stove League,#186,"Korean Drama - 2019, 16 episodes",8.6
Seoul Busters,#187,"Korean Drama - 2024, 20 episodes",8.6
Jack & Joker: U Steal My Heart! (Uncut Ver.),#188,"Thai Drama - 2024, 12 episodes",8.6
Yumi's Cells Season 3,#189,"Korean Drama - 2026, 8 episodes",8.6
The Tale of Lady Ok,#190,"Korean Drama - 2024, 16 episodes",8.6
Fangs of Fortune,#191,"Chinese Drama - 2024, 34 episodes",8.6
Ticket to Heaven,#192,"Thai Drama - 2026, 6 episodes",8.6
Ghost Doctor,#193,"Korean Drama - 2022, 16 episodes",8.6
Flourished Peony,#194,"Chinese Drama - 2025, 32 episodes",8.6
Children of Nobody,#195,"Korean Drama - 2018, 32 episodes",8.6
Lost You Forever,#196,"Chinese Drama - 2023, 39 episodes",8.6
Ultimate Note,#197,"Chinese Drama - 2020, 36 episodes",8.5
Law School,#198,"Korean Drama - 2021, 16 episodes",8.6
The King of Pigs,#199,"Korean Drama - 2022, 12 episodes",8.6
"It's Okay, That's Love",#200,"Korean Drama - 2014, 16 episodes",8.6
Angels Fall Sometimes,#201,"Chinese Drama - 2024, 24 episodes",8.5
Begins Youth,#202,"Korean Drama - 2024, 12 episodes",8.6
Mr. Queen: The Bamboo Forest,#203,"Korean Drama - 2021, 2 episodes",8.5
Moonlight Mystique Extra,#204,"Chinese Special - 2025, 1 episodes",8.4
Blind,#205,"Korean Drama - 2022, 16 episodes",8.6
Justice in the Dark,#206,"Chinese Drama - 2023, 30 episodes",8.5
tvN O'PENing: Our Beautiful Summer,#207,"Korean Drama - 2024, 2 episodes",8.5
Partners for Justice,#208,"Korean Drama - 2018, 32 episodes",8.5
The Kidnapping Day,#209,"Korean Drama - 2023, 12 episodes",8.5
Moonlight Mystique,#210,"Chinese Drama - 2025, 40 episodes",8.5
Empress Ki,#211,"Korean Drama - 2013, 51 episodes",8.6
Big Mouth,#212,"Korean Drama - 2022, 16 episodes",8.6
Vigilante,#213,"Korean Drama - 2023, 8 episodes",8.5
Welcome to Waikiki,#214,"Korean Drama - 2018, 20 episodes",8.5
18 Again,#215,"Korean Drama - 2020, 16 episodes",8.5
Revenant,#216,"Korean Drama - 2023, 12 episodes",8.5
Our Beloved Summer,#217,"Korean Drama - 2021, 16 episodes",8.5
Live,#218,"Korean Drama - 2018, 18 episodes",8.5
The Bad Kids,#219,"Chinese Drama - 2020, 12 episodes",8.5
The Winning Try,#220,"Korean Drama - 2025, 12 episodes",8.5
Nirvana in Fire Season 2: The Wind Blows in Chang Lin,#221,"Chinese Drama - 2017, 50 episodes",8.5
ClaireBell,#222,"Thai Drama - 2025, 8 episodes",8.6
Dear My Friends,#223,"Korean Drama - 2016, 16 episodes",8.5
Glory of Special Forces,#224,"Chinese Drama - 2022, 45 episodes",8.5
Deep In,#225,"Chinese Drama - 2026, 12 episodes",8.5
Empresses in the Palace,#226,"Chinese Drama - 2012, 76 episodes",8.5
Archives: The Nanyang Mystery,#227,"Chinese Drama - 2026, 33 episodes",8.5
Perfect 10 Liners,#228,"Thai Drama - 2024, 24 episodes",8.5
Battle of Changsha,#229,"Chinese Drama - 2014, 32 episodes",8.5
The Double Special,#230,"Chinese Special - 2024, 1 episodes",8.5
Blossoms of Power,#231,"Chinese Drama - 2026, 36 episodes",8.5
Only for Love Special,#232,"Chinese Special - 2023, 1 episodes",8.5
Word of Honor,#233,"Chinese Drama - 2021, 36 episodes",8.5
Unnatural,#234,"Japanese Drama - 2018, 10 episodes",8.5
"Dr. Romantic: APPENDIX, The Beginning of Everything",#235,"Korean Special - 2017, 1 episodes",8.5
Winter Begonia,#236,"Chinese Drama - 2020, 49 episodes",8.5
Light Shop,#237,"Korean Drama - 2024, 8 episodes",8.5
Love of the Divine Tree,#238,"Chinese Drama - 2025, 40 episodes",8.5
Juvenile Justice,#239,"Korean Drama - 2022, 10 episodes",8.5
You Are My Hero,#240,"Chinese Drama - 2021, 40 episodes",8.5
Mysterious Lotus Casebook: Special Episode,#241,"Chinese Special - 2023, 1 episodes",8.5
Shogun,#242,"Japanese Drama - 2024, 10 episodes",8.5
Reset,#243,"Thai Drama - 2025, 10 episodes",8.5
Never-Ending Summer,#244,"Chinese Drama - 2026, 29 episodes",8.5
Strange Tales of Tang Dynasty II To the West,#245,"Chinese Drama - 2024, 40 episodes",8.5
Hotel del Luna,#246,"Korean Drama - 2019, 16 episodes",8.5
Shine on Me,#247,"Chinese Drama - 2025, 36 episodes",8.5
Vagabond,#248,"Korean Drama - 2019, 16 episodes",8.5
Pyramid Game,#249,"Korean Drama - 2024, 10 episodes",8.5
Money Heist: Korea - Joint Economic Area - Part 2,#250,"Korean Drama - 2022, 6 episodes",8.5
A Winter Sun Wakes the Wind in Spring Hills' Dream,#251,"Chinese Drama - 2026, 16 episodes",8.5
MuTeLuv: “Hi” by My Luck,#252,"Thai Drama - 2025, 4 episodes",8.5
Cross Fire,#253,"Chinese Drama - 2020, 36 episodes",8.5
"Hi Bye, Mama!",#254,"Korean Drama - 2020, 16 episodes",8.5
Reunion: The Sound of the Providence Season 2,#255,"Chinese Drama - 2020, 30 episodes",8.5
Couple on the Backtrack,#256,"Korean Drama - 2017, 12 episodes",8.5
Once Again,#257,"Korean Drama - 2020, 100 episodes",8.5
Chief Detective 1958,#258,"Korean Drama - 2024, 10 episodes",8.5
Ashes of Love,#259,"Chinese Drama - 2018, 63 episodes",8.5
Welcome to Samdal-ri,#260,"Korean Drama - 2023, 16 episodes",8.5
Immortal Samsara Special,#261,"Chinese Special - 2022, 2 episodes",8.5
Good Manager,#262,"Korean Drama - 2017, 20 episodes",8.5
The WONDERfools,#263,"Korean Drama - 2026, 8 episodes",8.5
The Sun from Another Star Special Episode,#264,"Thai Drama - 2026, 1 episodes",8.5
Light beyond the Reed,#265,"Chinese Drama - 2025, 18 episodes",8.5
We Are All Trying Here,#266,"Korean Drama - 2026, 12 episodes",8.5
The Vendetta of An,#267,"Chinese Drama - 2025, 28 episodes",8.5
The Prosecutor's Proposal,#268,"Korean Drama - 2026, 10 episodes",8.5
The Sun from Another Star,#269,"Thai Drama - 2026, 8 episodes",8.5
Mother,#270,"Japanese Drama - 2010, 11 episodes",8.5
Voice,#271,"Korean Drama - 2017, 16 episodes",8.5
Are You the One,#272,"Chinese Drama - 2024, 40 episodes",8.5
Goddess Bless You from Death,#273,"Thai Drama - 2025, 13 episodes",8.5
Mr. Hiiragi's Homeroom,#274,"Japanese Drama - 2019, 10 episodes",8.5
Leap Day,#275,"Thai Drama - 2025, 12 episodes",8.5
Bad and Crazy,#276,"Korean Drama - 2021, 12 episodes",8.5
Peaceful Property,#277,"Thai Drama - 2024, 12 episodes",8.5
My Magic Prophecy,#278,"Thai Drama - 2025, 10 episodes",8.5
The Great Queen Seondeok,#279,"Korean Drama - 2009, 62 episodes",8.5
Glass Heart,#280,"Japanese Drama - 2025, 10 episodes",8.5
Fourever You Part 2 (Uncut Ver.),#281,"Thai Drama - 2025, 24 episodes",8.5
Eternal Love of Dream,#282,"Chinese Drama - 2020, 56 episodes",8.5
Not Me,#283,"Thai Drama - 2021, 14 episodes",8.5
Stranger Season 2,#284,"Korean Drama - 2020, 16 episodes",8.5
A Shop for Killers Season 2,#285,"Korean Drama - 2026, 8 episodes",8.5
Put Your Head On My Shoulder Special Episode,#286,"Chinese Special - 2019, 1 episodes",8.5
Lovely Us,#287,"Chinese Drama - 2020, 16 episodes",8.5
Marry My Husband,#288,"Korean Drama - 2024, 16 episodes",8.5
Top Form,#289,"Thai Drama - 2025, 11 episodes",8.5
Light of My Lion,#290,"Japanese Drama - 2024, 11 episodes",8.5
MuTeLuv: Love Me if You Swear,#291,"Thai Drama - 2026, 4 episodes",8.5
