title,rank,meta,rating
Trace,#2389,"Japanese Drama - 2019, 11 episodes",7.8
Twenty Your Life On Season 2,#2390,"Chinese Drama - 2022, 40 episodes",7.8
MaxTul Extended Memory,#2391,"Thai Special - 2021, 1 episodes",7.8
Saki ni Umareta Dake no Boku,#2392,"Japanese Drama - 2017, 10 episodes",7.8
The Whirlwind Girl,#2393,"Chinese Drama - 2015, 32 episodes",7.8
Ishi no Mayu,#2394,"Japanese Drama - 2015, 5 episodes",7.8
A Journey to Meet Love,#2395,"Chinese Drama - 2019, 52 episodes",7.8
Kakegurui Twin,#2396,"Japanese Drama - 2021, 8 episodes",7.8
Check in Hanyang,#2397,"Korean Drama - 2024, 16 episodes",7.8
The Killer Inside,#2398,"Japanese Drama - 2022, 9 episodes",7.8
Ni Chang,#2399,"Chinese Drama - 2021, 40 episodes",7.8
Sunshine by My Side,#2400,"Chinese Drama - 2023, 36 episodes",7.8
Ao Haru Ride Season 2,#2401,"Japanese Drama - 2024, 6 episodes",7.8
Lucifer,#2402,"Korean Drama - 2007, 20 episodes",7.8
I Need Romance Season 3,#2403,"Korean Drama - 2014, 16 episodes",7.8
Confidence Queen,#2404,"Korean Drama - 2025, 12 episodes",7.8
Priceless,#2405,"Japanese Drama - 2012, 10 episodes",7.8
Don't Be Too Emotional,#2406,"Thai Drama - 2026, 12 episodes",7.8
The Dark Lord,#2407,"Chinese Drama - 2018, 48 episodes",7.8
Song of the Moon,#2408,"Chinese Drama - 2022, 40 episodes",7.8
Mental Coach Jegal,#2409,"Korean Drama - 2022, 16 episodes",7.8
Scripting Your Destiny,#2410,"Korean Drama - 2021, 10 episodes",7.8
Poisonous Love Special Episode,#2411,"Thai Drama - 2025, 1 episodes",7.8
Bloody Flower,#2412,"Korean Drama - 2026, 8 episodes",7.8
Dong Lan Xue,#2413,"Chinese Drama - 2023, 30 episodes",7.8
"Hanbun, Aoi",#2414,"Japanese Drama - 2018, 156 episodes",7.8
Forest,#2415,"Korean Drama - 2020, 32 episodes",7.8
You Are Desire,#2416,"Chinese Drama - 2023, 30 episodes",7.8
Colorful Love: Genderless Danshi ni Aisareteimasu,#2417,"Japanese Drama - 2021, 10 episodes",7.8
Yong Jiu Grocery Store,#2418,"Taiwanese Drama - 2019, 10 episodes",7.8
Princess Hours,#2419,"Korean Drama - 2006, 24 episodes",7.8
My Summer of You,#2420,"Japanese Drama - 2026, 12 episodes",7.8
Kiss Goblin,#2421,"Korean Drama - 2020, 12 episodes",7.8
Love Track: Minji Minji Minji,#2422,"Korean Drama - 2025, 1 episodes",7.8
Provoke,#2423,"Chinese Drama - 2023, 25 episodes",7.8
Dynamite Kiss,#2424,"Korean Drama - 2025, 14 episodes",7.8
Juken Sentai Gekiranger,#2425,"Japanese Drama - 2007, 49 episodes",7.8
"Hello, My Youth",#2426,"Chinese Drama - 2021, 20 episodes",7.8
Kamen Rider Agito,#2427,"Japanese Drama - 2001, 51 episodes",7.8
Tracer Season 2,#2428,"Korean Drama - 2022, 8 episodes",7.8
A Fist Within Four Walls,#2429,"Hong Kong Drama - 2016, 28 episodes",7.8
Unrequited Love,#2430,"Chinese Drama - 2019, 24 episodes",7.8
The King's Doctor,#2431,"Korean Drama - 2012, 50 episodes",7.8
Jang Ok Jung,#2432,"Korean Drama - 2013, 24 episodes",7.8
Party A Who Lives Beside Me,#2433,"Chinese Drama - 2021, 24 episodes",7.8
Lie to Love,#2434,"Chinese Drama - 2021, 32 episodes",7.8
I Will Fly to the Sky on a Wheelchair!,#2435,"Japanese Drama - 2012, 1 episodes",7.8
The Romance of the Condor Heroes,#2436,"Chinese Drama - 2014, 54 episodes",7.8
Unveil: Jadewind,#2437,"Chinese Drama - 2026, 34 episodes",7.8
Deep Lurk,#2438,"Chinese Drama - 2024, 38 episodes",7.8
The Longest Promise,#2439,"Chinese Drama - 2023, 40 episodes",7.8
A First Love Story,#2440,"Korean Drama - 2021, 2 episodes",7.8
No Dating at Boarding School,#2441,"Korean Drama - 2025, 50 episodes",7.8
The Fox's Summer Season 2,#2442,"Chinese Drama - 2017, 23 episodes",7.8
Legal Mavericks,#2443,"Hong Kong Drama - 2017, 28 episodes",7.8
Pit Babe Season 2,#2444,"Thai Drama - 2025, 13 episodes",7.8
Are You Safe,#2445,"Chinese Drama - 2022, 31 episodes",7.8
6 from High&Low the Worst,#2446,"Japanese Drama - 2020, 6 episodes",7.8
Thus Spoke Kishibe Rohan Season 2,#2447,"Japanese Drama - 2021, 3 episodes",7.8
Player,#2448,"Thai Drama - 2025, 12 episodes",7.8
Grab Your Love,#2449,"Chinese Drama - 2025, 24 episodes",7.8
Radiation House Season 2,#2450,"Japanese Drama - 2021, 11 episodes",7.8
The Escape of the Seven: Resurrection,#2451,"Korean Drama - 2024, 16 episodes",7.8
Fix You,#2452,"Korean Drama - 2020, 32 episodes",7.8
Tastefully Yours,#2453,"Korean Drama - 2025, 10 episodes",7.8
My Sweetheart Jom,#2454,"Thai Drama - 2025, 12 episodes",7.8
Night Doctor,#2455,"Japanese Drama - 2021, 11 episodes",7.8
Countdown to Yes,#2456,"Japanese Drama - 2026, 11 episodes",7.8
Flower Crew: Joseon Marriage Agency,#2457,"Korean Drama - 2019, 16 episodes",7.8
The Inextricable Destiny,#2458,"Chinese Drama - 2023, 26 episodes",7.8
Life Is Beautiful,#2459,"Korean Drama - 2010, 63 episodes",7.8
Dai Renai: Boku wo Wasureru Kimi to,#2460,"Japanese Drama - 2018, 10 episodes",7.8
Naked Fireman,#2461,"Korean Drama - 2017, 4 episodes",7.8
The Game: Towards Zero,#2462,"Korean Drama - 2020, 32 episodes",7.8
Madan Senki Ryukendo,#2463,"Japanese Drama - 2006, 52 episodes",7.8
Be Mine: Prologue Day,#2464,"Thai Drama - 2023, 1 episodes",7.8
Nee Ruk Nai Krong Fai,#2465,"Thai Drama - 2019, 18 episodes",7.8
Snowfall,#2466,"Chinese Drama - 2024, 24 episodes",7.8
Trap,#2467,"Korean Drama - 2019, 7 episodes",7.8
Catch Up My Prince,#2468,"Chinese Drama - 2023, 24 episodes",7.8
I Know I Love You,#2469,"Chinese Drama - 2023, 24 episodes",7.8
The Cursed,#2470,"Korean Drama - 2020, 12 episodes",7.8
Ultraman Tiga,#2471,"Japanese Drama - 1996, 52 episodes",7.8
The Trick of Life and Love,#2472,"Chinese Drama - 2021, 32 episodes",7.8
Payakorn Sorn Ruk,#2473,"Thai Drama - 2020, 13 episodes",7.8
My Deepest Dream,#2474,"Chinese Drama - 2022, 30 episodes",7.8
Be My Cat,#2475,"Chinese Drama - 2021, 16 episodes",7.8
Hormones Season 2,#2476,"Thai Drama - 2014, 13 episodes",7.8
Miss Independent Ji Eun Season 2,#2477,"Korean Drama - 2019, 16 episodes",7.8
Flower Grandpa Investigation Unit,#2478,"Korean Drama - 2014, 12 episodes",7.8
Novoland: The Castle in the Sky Season 2,#2479,"Chinese Drama - 2020, 34 episodes",7.8
Gochisosan,#2480,"Japanese Drama - 2013, 150 episodes",7.8
Court Lady,#2481,"Chinese Drama - 2021, 55 episodes",7.8
Glorious Day,#2482,"Korean Drama - 2014, 44 episodes",7.8
The Disappearing Child,#2483,"Chinese Drama - 2022, 12 episodes",7.8
Therapy Game,#2484,"Japanese Drama - 2025, 9 episodes",7.8
Burning Ice,#2485,"Chinese Drama - 2017, 12 episodes",7.8
Swords of Legends,#2486,"Chinese Drama - 2014, 52 episodes",7.8
Echoes of Gang City,#2487,"Chinese Drama - 2026, 28 episodes",7.8
Meteor Garden,#2488,"Taiwanese Drama - 2001, 19 episodes",7.8
Best Choice Ever,#2489,"Chinese Drama - 2024, 37 episodes",7.8
Iryu Team Medical Dragon 3,#2490,"Japanese Drama - 2010, 10 episodes",7.8
Smile to Life,#2491,"Chinese Drama - 2022, 24 episodes",7.8
ABO Desire,#2492,"Chinese Drama - 2025, 16 episodes",7.8
Half,#2493,"Thai Special - 2021, 1 episodes",7.8
The Comic Bang,#2494,"Chinese Drama - 2025, 33 episodes",7.8
My Girl,#2495,"Korean Drama - 2005, 16 episodes",7.8
Your House Helper,#2496,"Korean Drama - 2018, 32 episodes",7.8
The Imperial Doctress,#2497,"Chinese Drama - 2016, 50 episodes",7.8
Dreaming of a Freaking Fairytale,#2498,"Korean Drama - 2024, 10 episodes",7.8
"Captivated, by You",#2499,"Japanese Drama - 2021, 5 episodes",7.8
The Journey,#2500,"Chinese Drama - 2017, 12 episodes",7.8
"Zao Gao, He Gui Mi Yi Qi Chuan Shu Hou Ba Fan Pai Wan Er Huai Le",#2501,"Chinese Drama - 2026, 75 episodes",7.8
Call Me by No-Name,#2502,"Japanese Drama - 2025, 8 episodes",7.8
Frozen Love,#2503,"Korean Special - 2017, 2 episodes",7.8
Double Savage,#2504,"Thai Drama - 2023, 12 episodes",7.8
MOZU: Night Cry of the MOZU,#2505,"Japanese Drama - 2014, 10 episodes",7.8
BG: Personal Bodyguard,#2506,"Japanese Drama - 2018, 9 episodes",7.8
From Five to Nine,#2507,"Japanese Drama - 2015, 10 episodes",7.8
Well Dominated Love,#2508,"Chinese Drama - 2020, 24 episodes",7.8
Descending Stories: A Life in Rakugo,#2509,"Japanese Drama - 2018, 10 episodes",7.8
Decoy: Part 2,#2510,"Korean Drama - 2023, 6 episodes",7.8
Jark Sadtroo Soo Hua Jai,#2511,"Thai Drama - 2020, 19 episodes",7.8
CHANGE,#2512,"Japanese Drama - 2008, 10 episodes",7.8
Decoded,#2513,"Chinese Drama - 2016, 44 episodes",7.8
Sandglass,#2514,"Korean Drama - 1995, 24 episodes",7.8
Alt.Gameboys,#2515,"Filipino Drama - 2020, 1 episodes",7.8
Matrimonial Chaos,#2516,"Korean Drama - 2018, 32 episodes",7.8
To Heal the Heart,#2517,"Japanese Drama - 2020, 4 episodes",7.8
Beautiful Gong Shim,#2518,"Korean Drama - 2016, 20 episodes",7.8
Grand Prince,#2519,"Korean Drama - 2018, 20 episodes",7.8
To Ship Someone,#2520,"Chinese Drama - 2023, 24 episodes",7.8
Downtown Rocket,#2521,"Japanese Drama - 2015, 10 episodes",7.8
Drunk in Good Taste,#2522,"Korean Special - 2018, 10 episodes",7.8
Shikaku Tantei Higurashi Tabito,#2523,"Japanese Drama - 2017, 9 episodes",7.8
Sweet Trap,#2524,"Chinese Drama - 2024, 24 episodes",7.8
Love’s Rebellion,#2525,"Chinese Drama - 2024, 36 episodes",7.8
Should We Kiss First?,#2526,"Korean Drama - 2018, 40 episodes",7.8
The Affair Was Just the Beginning,#2527,"Korean Drama - 2026, 8 episodes",7.8
Out of the Dream,#2528,"Chinese Drama - 2021, 30 episodes",7.8
Chef: Three Star School Lunch,#2529,"Japanese Drama - 2016, 10 episodes",7.8
My Lovely Boxer,#2530,"Korean Drama - 2023, 12 episodes",7.8
Waen Dok Mai,#2531,"Thai Drama - 2017, 26 episodes",7.8
Legal V,#2532,"Japanese Drama - 2018, 9 episodes",7.8
Behind Your Smile,#2533,"Taiwanese Drama - 2016, 19 episodes",7.8
All I Want for Love Is You,#2534,"Chinese Drama - 2019, 32 episodes",7.8
Different Dreams,#2535,"Korean Drama - 2019, 40 episodes",7.8
Snowy Night Timeless Love,#2536,"Chinese Drama - 2024, 32 episodes",7.8
Love and Sword,#2537,"Chinese Drama - 2025, 24 episodes",7.8
First Love,#2538,"Chinese Drama - 2022, 24 episodes",7.8
Beyond the Realm of Conscience,#2539,"Hong Kong Drama - 2009, 33 episodes",7.8
Journey to the West Season 2,#2540,"Hong Kong Drama - 1998, 42 episodes",7.8
Can't Buy Me Love,#2541,"Hong Kong Drama - 2010, 32 episodes",7.8
"Hello, the Sharpshooter",#2542,"Chinese Drama - 2022, 40 episodes",7.8
Tribes and Empires: Storm of Prophecy,#2543,"Chinese Drama - 2017, 75 episodes",7.8
Medical Examiner Dr. Qin: The Mind Reader,#2544,"Chinese Drama - 2022, 28 episodes",7.8
Princess Ja Myung,#2545,"Korean Drama - 2009, 39 episodes",7.8
L.O.R.D. Critical World,#2546,"Chinese Drama - 2019, 48 episodes",7.8
Like a Flowing River,#2547,"Chinese Drama - 2018, 47 episodes",7.8
Golden Scenery of Tomorrow,#2548,"Filipino Drama - 2025, 22 episodes",7.8
Jang Bori Is Here,#2549,"Korean Drama - 2014, 52 episodes",7.8
Mr. Nietzsche in the Convenience Store,#2550,"Japanese Drama - 2016, 10 episodes",7.8
Switch,#2551,"Korean Drama - 2018, 32 episodes",7.8
Wishing upon the Shooting Stars,#2552,"Taiwanese Drama - 2026, 12 episodes",7.8
Fulfill,#2553,"Thai Drama - 2026, 8 episodes",7.8
Never Give Up,#2554,"Chinese Drama - 2023, 40 episodes",7.8
20th Century Boy and Girl,#2555,"Korean Drama - 2017, 32 episodes",7.8
Strongest Deliveryman,#2556,"Korean Drama - 2017, 16 episodes",7.8
Yong Pal,#2557,"Korean Drama - 2015, 18 episodes",7.8
Drama Special Season 7: My Happy Home,#2558,"Korean Special - 2016, 1 episodes",7.8
Candle in the Tomb: The Worm Valley,#2559,"Chinese Drama - 2021, 16 episodes",7.8
Business as Usual Special,#2560,"Korean Special - 2025, 1 episodes",7.8
Love Designer,#2561,"Chinese Drama - 2020, 45 episodes",7.8
The Legend of Zu Season 2,#2562,"Chinese Drama - 2018, 48 episodes",7.8
Garo: Makai Senki,#2563,"Japanese Drama - 2011, 24 episodes",7.8
To My Shore Special,#2564,"Chinese Drama - 2026, 1 episodes",7.8
You Can't Expense This!,#2565,"Japanese Drama - 2019, 10 episodes",7.8
Miss Gu Who Is Silent,#2566,"Chinese Drama - 2020, 20 episodes",7.8
The Romance Manga Artist,#2567,"Japanese Drama - 2021, 11 episodes",7.8
10 Count to the Future,#2568,"Japanese Drama - 2022, 9 episodes",7.8
Money Game,#2569,"Korean Drama - 2020, 16 episodes",7.8
Brocade Odyssey,#2570,"Chinese Drama - 2024, 40 episodes",7.8
The Nipple Talk,#2571,"Taiwanese Drama - 2024, 10 episodes",7.8
Be My Princess,#2572,"Chinese Drama - 2022, 30 episodes",7.8
Jazz for Two,#2573,"Korean Drama - 2024, 8 episodes",7.8
The Three GentleBros,#2574,"Thai Drama - 2022, 18 episodes",7.8
Carnation,#2575,"Japanese Drama - 2011, 151 episodes",7.8
The Listener,#2576,"Chinese Drama - 2019, 36 episodes",7.8
Drifting Away,#2577,"Chinese Drama - 2025, 14 episodes",7.8
Sanctuary,#2578,"Japanese Drama - 2023, 8 episodes",7.8
Yae no Sakura,#2579,"Japanese Drama - 2013, 50 episodes",7.8
Tokyo Dogs,#2580,"Japanese Drama - 2009, 10 episodes",7.8
My Deskmate,#2581,"Chinese Drama - 2021, 30 episodes",7.8
Pending Train,#2582,"Japanese Drama - 2023, 10 episodes",7.8
Our Dearest Sakura,#2583,"Japanese Drama - 2019, 10 episodes",7.8
We Are Peaceful Brothers,#2584,"Korean Drama - 2017, 15 episodes",7.8
Mr. Fox and Miss Rose,#2585,"Chinese Drama - 2020, 30 episodes",7.8
Return of the Queen,#2586,"Chinese Drama - 2025, 24 episodes",7.8
AARO: All-Domain Anomaly Resolution Office,#2587,"Japanese Drama - 2024, 10 episodes",7.8
The Confidence Man JP Special,#2588,"Japanese Special - 2019, 1 episodes",7.8
BL Drama no Shuen ni Narimashita: Crank In Hen,#2589,"Japanese Special - 2024, 1 episodes",7.8
Love a Lifetime,#2590,"Chinese Drama - 2020, 45 episodes",7.8
My Husband in Law,#2591,"Thai Drama - 2020, 15 episodes",7.8
Sweet Revenge,#2592,"Korean Drama - 2017, 22 episodes",7.8
Out with a Bang,#2593,"Chinese Drama - 2022, 24 episodes",7.8
Great Men Academy,#2594,"Thai Drama - 2019, 8 episodes",7.8
Gokusen Special 2,#2595,"Japanese Special - 2005, 1 episodes",7.8
The Giver,#2596,"Thai Drama - 2022, 13 episodes",7.8
A Year-End Medley: Extended Version,#2597,"Korean Special - 2022, 6 episodes",7.8
Legend of the Phoenix,#2598,"Chinese Drama - 2019, 41 episodes",7.8
I Wanna Be Sup'Tar,#2599,"Thai Drama - 2015, 26 episodes",7.8
Love Is a Poison,#2600,"Japanese Drama - 2024, 12 episodes",7.8
Rosy Business Season 2: No Regrets,#2601,"Hong Kong Drama - 2010, 32 episodes",7.8
Papa & Daddy,#2602,"Taiwanese Drama - 2021, 6 episodes",7.8
Star & Sky Special Ep,#2603,"Thai Drama - 2022, 1 episodes",7.8
Hope or Dope,#2604,"Korean Drama - 2022, 10 episodes",7.8
Love Tractor,#2605,"Korean Drama - 2023, 8 episodes",7.8
Be Loved in House: I Do,#2606,"Taiwanese Drama - 2021, 12 episodes",7.8
Hitsudan Hostess,#2607,"Japanese Special - 2010, 1 episodes",7.8
Le Vrai Où,#2608,"Chinese Special - 2020, 1 episodes",7.8
Watashi wo Hanasanaide,#2609,"Japanese Drama - 2016, 10 episodes",7.8
Cheewit Puer Kah Huajai Puer Tur,#2610,"Thai Drama - 2017, 18 episodes",7.8
Devil beside You,#2611,"Taiwanese Drama - 2005, 20 episodes",7.8
The Deal,#2612,"Korean Drama - 2023, 8 episodes",7.8
Rebirth for You,#2613,"Chinese Drama - 2021, 40 episodes",7.8
Rahut Rissaya,#2614,"Thai Drama - 2020, 17 episodes",7.8
First Romance: Special,#2615,"Chinese Special - 2020, 1 episodes",7.8
The Invisibles,#2616,"Hong Kong Drama - 2023, 30 episodes",7.8
The Curse of Saree,#2617,"Thai Drama - 2022, 14 episodes",7.8
No Secrets,#2618,"Chinese Drama - 2019, 32 episodes",7.8
Shiroi Haru,#2619,"Japanese Drama - 2009, 11 episodes",7.8
Honour,#2620,"Korean Drama - 2026, 12 episodes",7.8
Drama Stage Season 3: Everyone Is There,#2621,"Korean Special - 2020, 1 episodes",7.8
Tiger & Dragon Special,#2622,"Japanese Special - 2005, 1 episodes",7.8
Red Swan,#2623,"Korean Drama - 2024, 10 episodes",7.8
Tawipob,#2624,"Thai Drama - 2011, 17 episodes",7.8
Kyo Kara Ore wa!! SP,#2625,"Japanese Special - 2020, 1 episodes",7.8
The Last Man: The Blind Profiler,#2626,"Japanese Drama - 2023, 10 episodes",7.8
Iribito,#2627,"Japanese Drama - 2021, 5 episodes",7.8
Beautiful Time with You,#2628,"Chinese Drama - 2020, 32 episodes",7.8
Homemade Love Story,#2629,"Korean Drama - 2020, 100 episodes",7.8
The Promise,#2630,"Filipino Drama - 2015, 190 episodes",7.8
The Legend of Heroes,#2631,"Chinese Drama - 2024, 60 episodes",7.8
Man to Man,#2632,"Korean Drama - 2017, 16 episodes",7.8
Fah Mee Tawan,#2633,"Thai Drama - 2020, 18 episodes",7.8
Boys' Lockdown,#2634,"Filipino Drama - 2020, 6 episodes",7.8
Bright Moon of Spring Night,#2635,"Chinese Drama - 2025, 48 episodes",7.8
Guess Who I Am,#2636,"Chinese Drama - 2024, 24 episodes",7.8
Runaway,#2637,"Thai Drama - 2025, 8 episodes",7.8
MuTeLuv: Not My Father!,#2638,"Thai Drama - 2025, 4 episodes",7.8
Bitch X Rich,#2639,"Korean Drama - 2023, 10 episodes",7.8
KA Lip Care,#2640,"Thai Special - 2017, 1 episodes",7.8
Love Script,#2641,"Chinese Drama - 2020, 24 episodes",7.8
Anna,#2642,"Korean Drama - 2022, 6 episodes",7.8
The Lady in Butcher's House,#2643,"Chinese Drama - 2022, 36 episodes",7.8
A Lonely Hero’s Journey,#2644,"Chinese Drama - 2024, 36 episodes",7.8
Family,#2645,"Korean Drama - 2012, 120 episodes",7.8
The Potato Lab,#2646,"Korean Drama - 2025, 12 episodes",7.8
The Flower in Prison,#2647,"Korean Drama - 2016, 51 episodes",7.8
Kikai Sentai Zenkaiger,#2648,"Japanese Drama - 2021, 49 episodes",7.8
Justifiable Defense,#2649,"Chinese Drama - 2025, 15 episodes",7.8
"Ready, Set, Love",#2650,"Thai Drama - 2024, 6 episodes",7.8
Love on the Turquoise Land,#2651,"Chinese Drama - 2025, 32 episodes",7.8
Oh My Ghost,#2652,"Thai Drama - 2018, 16 episodes",7.8
The King's Woman,#2653,"Chinese Drama - 2017, 48 episodes",7.8
"Watashi, Teiji de Kaerimasu",#2654,"Japanese Drama - 2019, 10 episodes",7.8
Who Saw the Peacock Dance in the Jungle?,#2655,"Japanese Drama - 2025, 10 episodes",7.8
"Hello, I'm at Your Service",#2656,"Chinese Drama - 2023, 24 episodes",7.8
Ultraman Z,#2657,"Japanese Drama - 2020, 25 episodes",7.8
The Scholar Who Walks the Night,#2658,"Korean Drama - 2015, 20 episodes",7.8
Xin Dong Huan Qing Gao Su Wo,#2659,"Chinese Drama - 2025, 85 episodes",7.8
"Cheat On Me, if You Can",#2660,"Korean Drama - 2020, 16 episodes",7.8
My Wife’s Having an Affair This Week,#2661,"Korean Drama - 2016, 12 episodes",7.8
The Sealer,#2662,"Japanese Drama - 2022, 9 episodes",7.8
Just One Bite,#2663,"Korean Drama - 2018, 8 episodes",7.8
I Will Find You a Better Home,#2664,"Chinese Drama - 2020, 53 episodes",7.8
Chastity High,#2665,"Japanese Drama - 2024, 8 episodes",7.8
Toumei na Yurikago,#2666,"Japanese Drama - 2018, 10 episodes",7.8
Refresh Man,#2667,"Taiwanese Drama - 2016, 17 episodes",7.8
Why Didn’t I Tell You a Million Times?,#2668,"Japanese Drama - 2023, 10 episodes",7.8
I Started Following Romance,#2669,"Korean Drama - 2019, 10 episodes",7.8
Kkondae  Intern,#2670,"Korean Drama - 2020, 24 episodes",7.8
Billion x School,#2671,"Japanese Drama - 2024, 11 episodes",7.8
For Eagle Brothers,#2672,"Korean Drama - 2025, 54 episodes",7.8
Echoes of the Self,#2673,"Chinese Drama - 2025, 22 episodes",7.8
Hitotsu Yane no Shita,#2674,"Japanese Drama - 1993, 12 episodes",7.8
The Kitazawas: We Mind Our Own Business,#2675,"Japanese Drama - 2018, 10 episodes",7.8
The Naked Director,#2676,"Japanese Drama - 2019, 8 episodes",7.8
Sisyphus: The Myth,#2677,"Korean Drama - 2021, 16 episodes",7.8
Cuo Dian Yuan Yang,#2678,"Chinese Drama - 2012, 25 episodes",7.8
Wild Bloom,#2679,"Chinese Drama - 2022, 36 episodes",7.8
My Beautiful Man,#2680,"Japanese Drama - 2021, 6 episodes",7.8
The Ship of Theseus,#2681,"Japanese Drama - 2020, 10 episodes",7.8
About Is Love,#2682,"Chinese Drama - 2018, 30 episodes",7.8
"Fujoshi, Ukkari Gei ni Kokuru",#2683,"Japanese Drama - 2019, 8 episodes",7.8
Caged Again,#2684,"Thai Drama - 2024, 10 episodes",7.8
Fragrance of the First Flower Season 2,#2685,"Taiwanese Drama - 2025, 12 episodes",7.8
Fateful Love,#2686,"Chinese Drama - 2024, 40 episodes",7.8
The Mermaid Prince: The Beginning,#2687,"Korean Drama - 2020, 10 episodes",7.8
The Princess's Gambit,#2688,"Chinese Drama - 2025, 36 episodes",7.8
Ohisama,#2689,"Japanese Drama - 2011, 156 episodes",7.8
Never Say Never,#2690,"Chinese Drama - 2019, 42 episodes",7.8
Ashes to Crown,#2691,"Chinese Drama - 2026, 24 episodes",7.8
The Gift of Your Heart,#2692,"Japanese Drama - 2024, 11 episodes",7.8
One Room Angel,#2693,"Japanese Drama - 2023, 6 episodes",7.8
The Romance of Hua Rong Season 2,#2694,"Chinese Drama - 2022, 24 episodes",7.8
Chip In,#2695,"Korean Drama - 2020, 8 episodes",7.8
The Wolf Princess,#2696,"Chinese Drama - 2021, 24 episodes",7.8
Advance Bravely,#2697,"Chinese Drama - 2017, 30 episodes",7.8
The Epoch of Miyu,#2698,"Chinese Drama - 2026, 38 episodes",7.8
Kunlun Tomb,#2699,"Chinese Drama - 2022, 16 episodes",7.8
Seito ga Jinsei wo Yarinaoseru Gakko,#2700,"Japanese Special - 2021, 1 episodes",7.8
Bed Friend: Uncut,#2701,"Thai Drama - 2023, 10 episodes",7.8
Seirei no Moribito,#2702,"Japanese Drama - 2016, 4 episodes",7.8
The Cupids Series: Kammathep Sorn Kol,#2703,"Thai Drama - 2017, 7 episodes",7.8
Dawn Is Breaking,#2704,"Chinese Drama - 2024, 30 episodes",7.8
My Love Eun Dong,#2705,"Korean Drama - 2015, 16 episodes",7.8
See You at Work Tomorrow!,#2706,"Korean Drama - 2026, 12 episodes",7.8
Romance of a Twin Flower,#2707,"Chinese Drama - 2023, 38 episodes",7.8
Candle in the Tomb,#2708,"Chinese Drama - 2016, 21 episodes",7.8
Myu no Anyo Papa ni Ageru,#2709,"Japanese Special - 2008, 1 episodes",7.8
A Step into the Past,#2710,"Hong Kong Drama - 2001, 40 episodes",7.8
Endless Protection,#2711,"Chinese Drama - 2025, 24 episodes",7.8
Plus Nine Boys,#2712,"Korean Drama - 2014, 14 episodes",7.8
Haha ni Naru,#2713,"Japanese Drama - 2017, 10 episodes",7.8
Theory of Love,#2714,"Thai Drama - 2019, 12 episodes",7.8
His: I Didn't Think I Would Fall in Love,#2715,"Japanese Drama - 2019, 5 episodes",7.8
Ga Doo Ri’s Sushi Restaurant,#2716,"Korean Drama - 2020, 12 episodes",7.8
Reverse with Me: Uncut,#2717,"Thai Drama - 2025, 8 episodes",7.8
The Maid,#2718,"Chinese Drama - 2025, 26 episodes",7.7
Khun Chai Ronaphee,#2719,"Thai Drama - 2013, 11 episodes",7.8
Kazama Kimichika: Kyojo Zero,#2720,"Japanese Drama - 2023, 11 episodes",7.8
Secretary Bai Wants to Resign Everyday,#2721,"Chinese Drama - 2022, 21 episodes",7.8
Unique Lady,#2722,"Chinese Drama - 2019, 12 episodes",7.8
Helpless without You,#2723,"Chinese Drama - 2025, 61 episodes",7.8
Don't Leave After School,#2724,"Chinese Drama - 2021, 24 episodes",7.8
Walk Into Your Memory,#2725,"Chinese Drama - 2019, 24 episodes",7.8
Pit Babe,#2726,"Thai Drama - 2023, 13 episodes",7.7
Day Breaker,#2727,"Chinese Drama - 2022, 24 episodes",7.8
Chasing Love,#2728,"Thai Drama - 2026, 8 episodes",7.8
Solitary Gourmet,#2729,"Japanese Drama - 2012, 12 episodes",7.8
No Side Manager,#2730,"Japanese Drama - 2019, 10 episodes",7.7
Midnight Motel,#2731,"Thai Drama - 2022, 6 episodes",7.7
The 19th Medical Chart,#2732,"Japanese Drama - 2025, 8 episodes",7.7
Be Your Knight,#2733,"Chinese Drama - 2024, 29 episodes",7.7
Singing All Along,#2734,"Chinese Drama - 2016, 56 episodes",7.8
The Royal Gambler,#2735,"Korean Drama - 2016, 24 episodes",7.7
Familiar Wife,#2736,"Japanese Drama - 2021, 11 episodes",7.7
Liars in Love,#2737,"Chinese Drama - 2024, 24 episodes",7.8
#Remolove: Futsuu no Koi wa Jado,#2738,"Japanese Drama - 2020, 10 episodes",7.7
Game of Outlaws,#2739,"Thai Drama - 2021, 19 episodes",7.8
We Best Love: No. 1 For You - Special Episode 6.5,#2740,"Taiwanese Special - 2021, 1 episodes",7.7
Big White Duel,#2741,"Hong Kong Drama - 2019, 25 episodes",7.7
Exploration Method of Love,#2742,"Chinese Drama - 2023, 22 episodes",7.7
Gudetama: An Eggcellent Adventure,#2743,"Japanese Drama - 2022, 10 episodes",7.7
Stealer: The Treasure Keeper,#2744,"Korean Drama - 2023, 12 episodes",7.7
The Miracle of Teddy Bear,#2745,"Thai Drama - 2022, 16 episodes",7.7
The New Heaven Sword and the Dragon Sabre,#2746,"Hong Kong Drama - 1986, 40 episodes",7.7
Lost Track of Time,#2747,"Chinese Drama - 2022, 30 episodes",7.7
Dangerous Love,#2748,"Korean Special - 2006, 1 episodes",7.7
Leh Ratree,#2749,"Thai Drama - 2015, 12 episodes",7.7
Strawberry Night,#2750,"Japanese Special - 2010, 1 episodes",7.7
Switched,#2751,"Japanese Drama - 2018, 6 episodes",7.7
Echo of Her Voice,#2752,"Chinese Drama - 2024, 24 episodes",7.7
Pope Rak,#2753,"Thai Drama - 2014, 12 episodes",7.7
